Geo Point;Geo Shape;TYP
47.4313609563,9.38539811189;"{""type"": ""Point"", ""coordinates"": [9.38539811189066, 47.43136095630826]}";Kandelaberleuchte
47.4325080001,9.38165538687;"{""type"": ""Point"", ""coordinates"": [9.381655386872444, 47.43250800006083]}";Kandelaberleuchte
47.4329285958,9.38138278116;"{""type"": ""Point"", ""coordinates"": [9.381382781157484, 47.43292859576647]}";Kandelaberleuchte
47.4335976704,9.38252005931;"{""type"": ""Point"", ""coordinates"": [9.38252005930817, 47.43359767038348]}";Kandelaberleuchte
47.4337866476,9.3828705123;"{""type"": ""Point"", ""coordinates"": [9.382870512302864, 47.433786647640275]}";Kandelaberleuchte
47.434389895,9.38251153968;"{""type"": ""Point"", ""coordinates"": [9.382511539678807, 47.43438989502161]}";Kandelaberleuchte
47.4338638615,9.3817590823;"{""type"": ""Point"", ""coordinates"": [9.381759082300267, 47.43386386154119]}";Kandelaberleuchte
47.4336674238,9.38129345539;"{""type"": ""Point"", ""coordinates"": [9.381293455391043, 47.43366742384809]}";Kandelaberleuchte
47.4334806766,9.38082713827;"{""type"": ""Point"", ""coordinates"": [9.380827138266334, 47.4334806765976]}";Kandelaberleuchte
47.4338302578,9.37970077254;"{""type"": ""Point"", ""coordinates"": [9.379700772540938, 47.43383025782971]}";Kandelaberleuchte
47.4349983664,9.3813482875;"{""type"": ""Point"", ""coordinates"": [9.38134828749849, 47.43499836635686]}";Kandelaberleuchte
47.434336281,9.38090766345;"{""type"": ""Point"", ""coordinates"": [9.380907663446997, 47.43433628101335]}";Kandelaberleuchte
47.4340072345,9.38068896664;"{""type"": ""Point"", ""coordinates"": [9.380688966640111, 47.434007234545206]}";Kandelaberleuchte
47.4349109522,9.38237692099;"{""type"": ""Point"", ""coordinates"": [9.382376920988266, 47.43491095216322]}";Kandelaberleuchte
47.4359784981,9.38419519426;"{""type"": ""Point"", ""coordinates"": [9.38419519426351, 47.435978498059086]}";Kandelaberleuchte
47.4240326604,9.36793592739;"{""type"": ""Point"", ""coordinates"": [9.36793592738725, 47.42403266036898]}";Kandelaberleuchte
47.4244502046,9.36876934812;"{""type"": ""Point"", ""coordinates"": [9.368769348118281, 47.42445020463838]}";Kandelaberleuchte
47.4253042408,9.37437476758;"{""type"": ""Point"", ""coordinates"": [9.374374767578256, 47.42530424079086]}";Inselpfosten
47.4262490872,9.37796077446;"{""type"": ""Point"", ""coordinates"": [9.377960774458526, 47.426249087170405]}";Kandelaberleuchte
47.429122578,9.37892519354;"{""type"": ""Point"", ""coordinates"": [9.378925193544024, 47.429122578016084]}";Beleuchtungsmast
47.4292306518,9.37905199726;"{""type"": ""Point"", ""coordinates"": [9.379051997264824, 47.429230651819516]}";Inselpfosten
