Date;Sunrise;Sunset;Daylength
01.01.2021;08:08;16:44;8h 35m 17s
02.01.2021;08:08;16:45;8h 36m 21s
03.01.2021;08:08;16:46;8h 37m 28s
04.01.2021;08:08;16:47;8h 38m 40s
05.01.2021;08:08;16:48;8h 39m 57s
06.01.2021;08:08;16:49;8h 41m 19s
07.01.2021;08:07;16:50;8h 42m 45s
08.01.2021;08:07;16:51;8h 44m 16s
09.01.2021;08:07;16:52;8h 45m 52s
10.01.2021;08:06;16:54;8h 47m 30s
11.01.2021;08:06;16:55;8h 49m 15s
12.01.2021;08:05;16:56;8h 51m 2s
13.01.2021;08:05;16:57;8h 52m 55s
14.01.2021;08:04;16:59;8h 54m 50s
15.01.2021;08:03;17:00;8h 56m 50s
16.01.2021;08:03;17:02;8h 58m 53s
17.01.2021;08:02;17:03;9h 1m 0s
18.01.2021;08:01;17:04;9h 3m 11s
19.01.2021;08:00;17:06;9h 5m 25s
20.01.2021;07:59;17:07;9h 7m 42s
21.01.2021;07:59;17:09;9h 10m 3s
22.01.2021;07:58;17:10;9h 12m 26s
23.01.2021;07:57;17:12;9h 14m 53s
24.01.2021;07:56;17:13;9h 17m 23s
25.01.2021;07:55;17:15;9h 19m 54s
26.01.2021;07:54;17:16;9h 22m 29s
27.01.2021;07:52;17:18;9h 25m 7s
28.01.2021;07:51;17:19;9h 27m 47s
29.01.2021;07:50;17:21;9h 30m 29s
30.01.2021;07:49;17:22;9h 33m 15s
31.01.2021;07:48;17:24;9h 36m 2s
01.02.2021;07:46;17:25;9h 38m 51s
02.02.2021;07:45;17:27;9h 41m 42s
03.02.2021;07:44;17:28;9h 44m 36s
04.02.2021;07:42;17:30;9h 47m 31s
05.02.2021;07:41;17:31;9h 50m 28s
06.02.2021;07:39:57;17:33:24;9h 53m 27s
07.02.2021;07:38:30;17:34:57;9h 56m 27s
08.02.2021;07:37:01;17:36:30;9h 59m 29s
09.02.2021;07:35:31;17:38:03;10h 2m 32s
10.02.2021;07:33:59;17:39:36;10h 5m 37s
11.02.2021;07:32:26;17:41:09;10h 8m 43s
12.02.2021;07:30:51;17:42:42;10h 11m 51s
13.02.2021;07:29:15;17:44:15;10h 15m 0s
14.02.2021;07:27:38;17:45:47;10h 18m 9s
15.02.2021;07:25:59;17:47:19;10h 21m 20s
16.02.2021;07:24:19;17:48:51;10h 24m 32s
17.02.2021;07:22:38;17:50:23;10h 27m 45s
18.02.2021;07:20:56;17:51:55;10h 30m 59s
19.02.2021;07:19:12;17:53:27;10h 34m 15s
20.02.2021;07:17:28;17:54:58;10h 37m 30s
21.02.2021;07:15:43;17:56:29;10h 40m 46s
22.02.2021;07:13:56;17:57:59;10h 44m 3s
23.02.2021;07:12:09;17:59:30;10h 47m 21s
24.02.2021;07:10:20;18:01:00;10h 50m 40s
25.02.2021;07:08:31;18:02:30;10h 53m 59s
26.02.2021;07:06:41;18:04:00;10h 57m 19s
27.02.2021;07:04:50;18:05:29;11h 0m 39s
28.02.2021;07:02:59;18:06:58;11h 3m 59s
01.03.2021;07:01:06;18:08:27;11h 7m 21s
02.03.2021;06:59:13;18:09:55;11h 10m 42s
03.03.2021;06:57:19;18:11:24;11h 14m 5s
04.03.2021;06:55:25;18:12:52;11h 17m 27s
05.03.2021;06:53:30;18:14:19;11h 20m 49s
06.03.2021;06:51:34;18:15:47;11h 24m 13s
07.03.2021;06:49:38;18:17:14;11h 27m 36s
08.03.2021;06:47:42;18:18:41;11h 30m 59s
09.03.2021;06:45:45;18:20:08;11h 34m 23s
10.03.2021;06:43:47;18:21:34;11h 37m 47s
11.03.2021;06:41:49;18:23:00;11h 41m 11s
12.03.2021;06:39:51;18:24:26;11h 44m 35s
13.03.2021;06:37:53;18:25:52;11h 47m 59s
14.03.2021;06:35:54;18:27:17;11h 51m 23s
15.03.2021;06:33:55;18:28:43;11h 54m 48s
16.03.2021;06:31:55;18:30:08;11h 58m 13s
17.03.2021;06:29:56;18:31:33;12h 1m 37s
18.03.2021;06:27:56;18:32:58;12h 5m 2s
19.03.2021;06:25:56;18:34:22;12h 8m 26s
20.03.2021;06:23:56;18:35:47;12h 11m 51s
21.03.2021;06:21:56;18:37:11;12h 15m 15s
22.03.2021;06:19:56;18:38:35;12h 18m 39s
23.03.2021;06:17:56;18:39:59;12h 22m 3s
24.03.2021;06:15:56;18:41:23;12h 25m 27s
25.03.2021;06:13:56;18:42:47;12h 28m 51s
26.03.2021;06:11:56;18:44:11;12h 32m 15s
27.03.2021;06:09:56;18:45:35;12h 35m 39s
28.03.2021;07:08:01;19:46:55;12h 38m 54s
29.03.2021;07:06:01;19:48:18;12h 42m 17s
30.03.2021;07:04:02;19:49:42;12h 45m 40s
31.03.2021;07:02:03;19:51:05;12h 49m 2s
01.04.2021;07:00:04;19:52:28;12h 52m 24s
02.04.2021;06:58:05;19:53:52;12h 55m 47s
03.04.2021;06:56:07;19:55:15;12h 59m 8s
04.04.2021;06:54:09;19:56:38;13h 2m 29s
05.04.2021;06:52:12;19:58:02;13h 5m 50s
06.04.2021;06:50:14;19:59:25;13h 9m 11s
07.04.2021;06:48:18;20:00:48;13h 12m 30s
08.04.2021;06:46:22;20:02:11;13h 15m 49s
09.04.2021;06:44:26;20:03:34;13h 19m 8s
10.04.2021;06:42:31;20:04:57;13h 22m 26s
11.04.2021;06:40:36;20:06:21;13h 25m 45s
12.04.2021;06:38:42;20:07:44;13h 29m 2s
13.04.2021;06:36:49;20:09:07;13h 32m 18s
14.04.2021;06:34:56;20:10:30;13h 35m 34s
15.04.2021;06:33:05;20:11:53;13h 38m 48s
16.04.2021;06:31:13;20:13:16;13h 42m 3s
17.04.2021;06:29:23;20:14:39;13h 45m 16s
18.04.2021;06:27:34;20:16:02;13h 48m 28s
19.04.2021;06:25:45;20:17:25;13h 51m 40s
20.04.2021;06:23:57;20:18:48;13h 54m 51s
21.04.2021;06:22:10;20:20:11;13h 58m 1s
22.04.2021;06:20:24;20:21:34;14h 1m 10s
23.04.2021;06:18:40;20:22:56;14h 4m 16s
24.04.2021;06:16:56;20:24:19;14h 7m 23s
25.04.2021;06:15:13;20:25:42;14h 10m 29s
26.04.2021;06:13:31;20:27:04;14h 13m 33s
27.04.2021;06:11:51;20:28:26;14h 16m 35s
28.04.2021;06:10:11;20:29:48;14h 19m 37s
29.04.2021;06:08:33;20:31:10;14h 22m 37s
30.04.2021;06:06:57;20:32:32;14h 25m 35s
01.05.2021;06:05:21;20:33:53;14h 28m 32s
02.05.2021;06:03:47;20:35:15;14h 31m 28s
03.05.2021;06:02:14;20:36:36;14h 34m 22s
04.05.2021;06:00:43;20:37:56;14h 37m 13s
05.05.2021;05:59:13;20:39:16;14h 40m 3s
06.05.2021;05:57:44;20:40:36;14h 42m 52s
07.05.2021;05:56:17;20:41:56;14h 45m 39s
08.05.2021;05:54:52;20:43:15;14h 48m 23s
09.05.2021;05:53:28;20:44:34;14h 51m 6s
10.05.2021;05:52:06;20:45:52;14h 53m 46s
11.05.2021;05:50:46;20:47:09;14h 56m 23s
12.05.2021;05:49:27;20:48:26;14h 58m 59s
13.05.2021;05:48:10;20:49:42;15h 1m 32s
14.05.2021;05:46:55;20:50:58;15h 4m 3s
15.05.2021;05:45:42;20:52:13;15h 6m 31s
16.05.2021;05:44:31;20:53:27;15h 8m 56s
17.05.2021;05:43:22;20:54:40;15h 11m 18s
18.05.2021;05:42:14;20:55:53;15h 13m 39s
19.05.2021;05:41:09;20:57:04;15h 15m 55s
20.05.2021;05:40:06;20:58:15;15h 18m 9s
