station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
STG;20210101;39;5;-;916.4;0;73;-0.2;-2.6;1.8;84.7
STG;20210102;19;5;-;917.7;0;0;-1.4;-3;-0.3;91
STG;20210103;13;5;-;918.4;0;0;-2.3;-3.2;-1.5;94.4
STG;20210104;23;5;-;918.8;0;0;-2.4;-3.4;-1.5;85.2
STG;20210105;10;5;-;919;1.2;0;-3.5;-4;-3.1;89.5
STG;20210106;35;6;-;920.7;1.2;0;-2.8;-4;-1.9;86.3
STG;20210107;31;9;-;922.8;0;0;-2;-3.1;-0.9;85.7
STG;20210108;43;9;-;924.2;0;8;-2.7;-4.7;-0.9;76.5
STG;20210109;66;9;-;926.6;0;337;-4.9;-7.5;-2.7;74.2
STG;20210110;76;9;-;927.9;0;377;-5.5;-7.9;-4;82.2
STG;20210111;76;8;-;928.9;0;362;-6.6;-8.5;-4.6;78.6
STG;20210112;16;8;-;925.2;8.1;0;-0.5;-5;1.5;75.8
STG;20210113;36;12;-;926.7;28.9;0;0.6;-0.8;2.1;88.2
STG;20210114;9;18;-;925;41.1;0;-1.3;-3.2;2.3;96.4
STG;20210115;19;62;-;928.2;4.3;0;-4.5;-7.7;-2.1;95.9
STG;20210116;76;65;-;932;5.5;285;-6.5;-8.9;-3.3;87.9
STG;20210117;14;72;-;927.6;12;0;-1;-4;0;93.4
STG;20210118;38;75;-;934.2;0;1;-1.3;-4.3;-0.3;84.4
STG;20210119;69;75;-;928.1;0;139;0.2;-5.3;5.2;67
STG;20210120;61;62;-;919.1;0;36;4;0;8.8;53.4
STG;20210121;76;50;-;913.6;0;210;7.7;3.6;10;45.3
STG;20210122;59;38;-;906.6;9.4;167;6.4;1.8;10.7;58.7
STG;20210123;57;30;-;908.3;1;38;0.4;-1.1;2.4;81
STG;20210124;82;27;-;910.9;0.7;312;-1.3;-3.8;1.6;64.7
STG;20210125;38;28;-;914.6;5.3;1;-1.6;-2.5;-0.7;81.9
STG;20210126;42;33;-;928.4;0.1;0;-2.2;-3.2;-1.3;69.7
STG;20210127;17;30;-;925.6;8.4;0;-1.2;-4.2;1.8;78.4
STG;20210128;13;22;-;919.9;13;0;5.2;1.7;7.9;87.5
STG;20210129;37;10;-;915.4;15.3;32;5.1;0.8;7.3;83.2
STG;20210130;26;5;-;911.6;16.2;0;4;2.9;5.2;83.4
STG;20210131;46;2;-;909.3;1.9;0;3.8;2.3;5.2;89.3
STG;20210201;28;0;-;908;8.8;0;4.5;2.1;6.6;85.7
STG;20210202;34;0;-;917.6;2.5;1;7.8;4.8;10.3;76.2
STG;20210203;18;0;-;918;17.3;7;7.8;5.1;9.7;80.1
STG;20210204;72;0;-;924.6;0;167;6.3;4.1;8.6;73.5
STG;20210205;102;0;-;922.3;0;394;7.3;3.9;11.5;67.8
STG;20210206;35;0;-;915;0;0;6.7;4.2;14.3;75.6
STG;20210207;9;0;-;908.1;17.6;0;3.3;0;6.5;85.8
STG;20210208;96;2;-;906.6;2.2;206;0.8;-1.1;4.9;79.3
STG;20210209;44;4;-;910.2;3.6;6;-1.3;-2.3;0.4;92.4
STG;20210210;23;4;-;913.1;10.6;0;-2.5;-8.9;1;97.4
STG;20210211;66;18;-;930;0.2;59;-9.4;-11;-8;86.8
STG;20210212;62;15;-;931.1;0;153;-9.1;-11;-7;89.1
STG;20210213;115;11;-;936.8;0;344;-9.6;-11.5;-6.5;75.7
STG;20210214;140;10;-;941.3;0;492;-7.9;-12.6;-3.6;73.8
STG;20210215;81;9;-;939;1.3;129;0.2;-7.2;4.9;66.2
STG;20210216;87;4;-;931.2;3.8;108;5.6;2.1;9.5;80.6
STG;20210217;86;0;-;931.1;0;305;5.6;3.1;8.6;77
STG;20210218;89;0;-;926.8;0;218;5.6;2.3;11;61.4
STG;20210219;105;0;-;929.1;0;331;7.9;5.3;10.7;63.4
STG;20210220;147;0;-;928.7;0;542;7.7;4.2;10.5;59.6
STG;20210221;154;0;-;927.8;0;548;8.9;5.1;14.3;58.3
STG;20210222;146;0;-;932.9;0;493;13.5;7.7;18;23.5
STG;20210223;134;0;-;943.2;0;487;10.5;7.7;13.2;45.7
STG;20210224;141;0;-;942.9;0;507;11.5;8;14.3;47.5
STG;20210225;161;0;-;939.5;0;566;11;8;15.1;48.4
STG;20210226;135;0;-;939;2.7;397;10;4.1;13;55.4
STG;20210227;22;0;-;940.8;0;0;2.1;-0.6;4;91
STG;20210228;95;0;-;939;0;246;1.1;-1.8;5.5;83.6
STG;20210301;169;0;-;938.1;0;585;3.2;-1.1;8.1;76.1
STG;20210302;178;0;-;939.6;0;581;7;2.6;10.9;48.5
STG;20210303;72;0;-;938.2;0;0;8.1;6;9.8;40.2
STG;20210304;95;0;-;930;6.9;96;7.8;3.4;11.1;51.7
STG;20210305;12;0;-;930.8;7.1;0;1.7;-0.8;4.5;94.1
STG;20210306;100;0;-;934.8;0;218;-0.2;-2.6;3.3;85.1
STG;20210307;77;0;-;930.3;1.7;40;3;-2.1;7.3;82.2
STG;20210308;170;0;-;927.2;0;552;2;-0.8;5.2;76
STG;20210309;132;0;-;926.1;0;304;0.7;-3.5;3.8;76.7
STG;20210310;153;0;-;928.1;0;393;3.9;0.9;7.3;62.2
STG;20210311;88;0;-;921.6;18.2;34;9.2;4.3;14.1;54.4
STG;20210312;131;0;-;924;0;229;5.5;3.6;8.8;58.3
STG;20210313;147;0;-;919.4;11.8;365;5.8;1;10.6;59.2
STG;20210314;81;2;-;922.9;3.6;33;0.8;-0.2;4.6;85.6
STG;20210315;41;3;-;924.3;6.8;0;1;0;2.5;88.8
STG;20210316;75;3;-;931.1;3.5;44;0.5;-0.3;2;84.6
STG;20210317;92;3;-;929.6;7.5;101;-0.2;-2.3;1.6;90.4
STG;20210318;140;5;-;928.9;0.1;211;-1.9;-4;1.5;81.4
STG;20210319;193;0;-;926;5.7;502;-1.5;-5.1;2.8;77.7
STG;20210320;146;10;-;931.9;0;279;-3.1;-4.7;-0.7;72.1
STG;20210321;70;3;-;929.4;0.3;0;-1.3;-4.4;0.4;67.5
STG;20210322;56;3;-;930.4;0;0;0.3;-0.3;1.4;77.3
STG;20210323;218;3;-;933.4;0;544;2;-2.1;6.4;64.7
STG;20210324;235;3;-;933;0;690;5.7;0.7;10.5;58.3
STG;20210325;218;2;-;931.4;0;618;8.9;4.6;13.7;47
STG;20210326;226;0;-;929.9;2;602;9.3;4.7;13.5;55.8
STG;20210327;62;0;-;935;1.7;4;5.4;2.8;10.6;72.9
STG;20210328;239;0;-;939.6;0;692;7.2;1.4;12.4;56.2
STG;20210329;242;0;-;941.7;0;710;11.5;7.1;16;38.1
STG;20210330;249;0;-;939.7;0;710;13;8.4;19.1;40.4
STG;20210331;247;0;-;934.5;0;716;14.2;9;18.5;45.9
STG;20210401;238;0;-;930.2;0.1;688;15.1;10.4;20.2;45.3
STG;20210402;220;0;-;927.9;0;529;10.3;3.4;14.4;65.6
STG;20210403;121;0;-;930.5;0;48;3;0.8;5.1;67
STG;20210404;263;0;-;929.2;0;745;4.3;-0.6;9;53.3
STG;20210405;174;0;-;921.4;12.7;370;5.9;-3.8;12.8;55.5
STG;20210406;192;6;-;922.5;2.5;298;-2.8;-6.5;0.6;75.8
STG;20210407;145;8;-;928.2;0.4;77;-2.1;-4.2;-0.1;75.1
STG;20210408;256;3;-;932.5;0;613;2.6;-0.9;6.5;46.8
STG;20210409;215;0;-;927.6;0;584;8.8;3.1;13.9;36.1
STG;20210410;189;0;-;924.5;0;281;9.8;4.6;13.7;47.9
STG;20210411;235;0;-;921.9;4.6;494;11.2;6.9;17.1;55.7
STG;20210412;74;0;-;933.1;8.4;0;0.4;-1.5;6.6;91
STG;20210413;242;4;-;936.3;0;345;0.3;-2.3;3.8;78.4
STG;20210414;213;0;-;933.7;0;401;1;-2.5;5.8;67.8
STG;20210415;162;0;-;932;0;232;1.1;-1.5;5.2;70.9
STG;20210416;257;0;-;929.8;0;513;1.3;-3;6.2;69.6
