,sunshine,datetime
0,0,2021-11-07 00:00:00
1,0,2021-11-07 01:00:00
2,0,2021-11-07 02:00:00
3,0,2021-11-07 03:00:00
4,0,2021-11-07 04:00:00
5,0,2021-11-07 05:00:00
6,0,2021-11-07 06:00:00
7,0,2021-11-07 07:00:00
8,0,2021-11-07 08:00:00
9,28,2021-11-07 09:00:00
10,60,2021-11-07 10:00:00
11,60,2021-11-07 11:00:00
12,60,2021-11-07 12:00:00
13,60,2021-11-07 13:00:00
14,60,2021-11-07 14:00:00
15,60,2021-11-07 15:00:00
16,58,2021-11-07 16:00:00
17,1,2021-11-07 17:00:00
18,0,2021-11-07 18:00:00
19,0,2021-11-07 19:00:00
20,0,2021-11-07 20:00:00
21,0,2021-11-07 21:00:00
22,0,2021-11-07 22:00:00
23,0,2021-11-07 23:00:00
0,0,2021-11-08 00:00:00
1,0,2021-11-08 01:00:00
2,0,2021-11-08 02:00:00
3,0,2021-11-08 03:00:00
4,0,2021-11-08 04:00:00
5,0,2021-11-08 05:00:00
6,0,2021-11-08 06:00:00
7,0,2021-11-08 07:00:00
8,0,2021-11-08 08:00:00
9,0,2021-11-08 09:00:00
10,0,2021-11-08 10:00:00
11,0,2021-11-08 11:00:00
12,0,2021-11-08 12:00:00
13,3,2021-11-08 13:00:00
14,14,2021-11-08 14:00:00
15,14,2021-11-08 15:00:00
16,0,2021-11-08 16:00:00
17,0,2021-11-08 17:00:00
18,0,2021-11-08 18:00:00
19,0,2021-11-08 19:00:00
20,0,2021-11-08 20:00:00
21,0,2021-11-08 21:00:00
22,0,2021-11-08 22:00:00
23,0,2021-11-08 23:00:00
0,0,2021-11-09 00:00:00
1,0,2021-11-09 01:00:00
2,0,2021-11-09 02:00:00
3,0,2021-11-09 03:00:00
4,0,2021-11-09 04:00:00
5,0,2021-11-09 05:00:00
6,0,2021-11-09 06:00:00
7,0,2021-11-09 07:00:00
8,0,2021-11-09 08:00:00
9,17,2021-11-09 09:00:00
10,52,2021-11-09 10:00:00
11,60,2021-11-09 11:00:00
12,60,2021-11-09 12:00:00
13,60,2021-11-09 13:00:00
14,60,2021-11-09 14:00:00
15,60,2021-11-09 15:00:00
16,55,2021-11-09 16:00:00
17,0,2021-11-09 17:00:00
18,0,2021-11-09 18:00:00
19,0,2021-11-09 19:00:00
20,0,2021-11-09 20:00:00
21,0,2021-11-09 21:00:00
22,0,2021-11-09 22:00:00
23,0,2021-11-09 23:00:00
0,0,2021-11-10 00:00:00
1,0,2021-11-10 01:00:00
2,0,2021-11-10 02:00:00
3,0,2021-11-10 03:00:00
4,0,2021-11-10 04:00:00
5,0,2021-11-10 05:00:00
6,0,2021-11-10 06:00:00
7,0,2021-11-10 07:00:00
8,0,2021-11-10 08:00:00
9,26,2021-11-10 09:00:00
10,60,2021-11-10 10:00:00
11,60,2021-11-10 11:00:00
12,60,2021-11-10 12:00:00
13,60,2021-11-10 13:00:00
14,60,2021-11-10 14:00:00
15,60,2021-11-10 15:00:00
16,45,2021-11-10 16:00:00
17,0,2021-11-10 17:00:00
18,0,2021-11-10 18:00:00
19,0,2021-11-10 19:00:00
20,0,2021-11-10 20:00:00
21,0,2021-11-10 21:00:00
22,0,2021-11-10 22:00:00
23,0,2021-11-10 23:00:00
0,0,2021-11-11 00:00:00
1,0,2021-11-11 01:00:00
2,0,2021-11-11 02:00:00
3,0,2021-11-11 03:00:00
4,0,2021-11-11 04:00:00
5,0,2021-11-11 05:00:00
6,0,2021-11-11 06:00:00
7,0,2021-11-11 07:00:00
8,0,2021-11-11 08:00:00
9,30,2021-11-11 09:00:00
10,60,2021-11-11 10:00:00
11,60,2021-11-11 11:00:00
12,60,2021-11-11 12:00:00
13,60,2021-11-11 13:00:00
14,60,2021-11-11 14:00:00
15,60,2021-11-11 15:00:00
16,48,2021-11-11 16:00:00
17,0,2021-11-11 17:00:00
18,0,2021-11-11 18:00:00
19,0,2021-11-11 19:00:00
20,0,2021-11-11 20:00:00
21,0,2021-11-11 21:00:00
22,0,2021-11-11 22:00:00
23,0,2021-11-11 23:00:00
0,0,2021-11-12 00:00:00
1,0,2021-11-12 01:00:00
2,0,2021-11-12 02:00:00
3,0,2021-11-12 03:00:00
4,0,2021-11-12 04:00:00
5,0,2021-11-12 05:00:00
6,0,2021-11-12 06:00:00
7,0,2021-11-12 07:00:00
8,6,2021-11-12 08:00:00
9,16,2021-11-12 09:00:00
10,18,2021-11-12 10:00:00
11,20,2021-11-12 11:00:00
12,25,2021-11-12 12:00:00
13,24,2021-11-12 13:00:00
14,23,2021-11-12 14:00:00
15,22,2021-11-12 15:00:00
16,19,2021-11-12 16:00:00
17,16,2021-11-12 17:00:00
18,0,2021-11-12 18:00:00
19,0,2021-11-12 19:00:00
20,0,2021-11-12 20:00:00
21,0,2021-11-12 21:00:00
22,0,2021-11-12 22:00:00
23,0,2021-11-12 23:00:00
0,0,2021-11-13 00:00:00
1,0,2021-11-13 01:00:00
2,0,2021-11-13 02:00:00
3,0,2021-11-13 03:00:00
4,0,2021-11-13 04:00:00
5,0,2021-11-13 05:00:00
6,0,2021-11-13 06:00:00
7,0,2021-11-13 07:00:00
8,6,2021-11-13 08:00:00
9,9,2021-11-13 09:00:00
10,9,2021-11-13 10:00:00
11,13,2021-11-13 11:00:00
12,13,2021-11-13 12:00:00
13,13,2021-11-13 13:00:00
14,13,2021-11-13 14:00:00
15,13,2021-11-13 15:00:00
16,13,2021-11-13 16:00:00
17,15,2021-11-13 17:00:00
18,0,2021-11-13 18:00:00
19,0,2021-11-13 19:00:00
20,0,2021-11-13 20:00:00
21,0,2021-11-13 21:00:00
22,0,2021-11-13 22:00:00
23,0,2021-11-13 23:00:00
